season,league_id,week,bracket,team_a,team_a_id,score_a,team_b,team_b_id,score_b,winner,source_url
2022,59165,1,regular,Vaqueros,8,157.8,Dezbians,4,148.4,Vaqueros,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=1
2022,59165,1,regular,Wet Serapas,1,151.72,DUGASM,5,162.72,DUGASM,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=1
2022,59165,1,regular,Bigballs,2,145.08,Deepest,3,129.56,Bigballs,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=1
2022,59165,1,regular,FFAmuseBouche,6,128.52,Good Strongs,7,121.08,FFAmuseBouche,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=1
2022,59165,2,regular,Vaqueros,8,135.58,Good Strongs,7,129.52,Vaqueros,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=2
2022,59165,2,regular,Wet Serapas,1,155.6,Deepest,3,143.84,Wet Serapas,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=2
2022,59165,2,regular,Bigballs,2,164.84,Dezbians,4,160.28,Bigballs,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=2
2022,59165,2,regular,DUGASM,5,132.16,FFAmuseBouche,6,167.62,FFAmuseBouche,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=2
2022,59165,3,regular,Vaqueros,8,130.0,Bigballs,2,132.76,Bigballs,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=3
2022,59165,3,regular,Wet Serapas,1,137.86,Dezbians,4,131.3,Wet Serapas,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=3
2022,59165,3,regular,Deepest,3,95.04,FFAmuseBouche,6,140.5,FFAmuseBouche,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=3
2022,59165,3,regular,DUGASM,5,109.42,Good Strongs,7,115.56,Good Strongs,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=3
2022,59165,4,regular,Vaqueros,8,167.2,DUGASM,5,136.12,Vaqueros,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=4
2022,59165,4,regular,Wet Serapas,1,128.12,Bigballs,2,159.1,Bigballs,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=4
2022,59165,4,regular,Deepest,3,147.42,Good Strongs,7,149.16,Good Strongs,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=4
2022,59165,4,regular,Dezbians,4,134.88,FFAmuseBouche,6,135.22,FFAmuseBouche,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=4
2022,59165,5,regular,Vaqueros,8,142.38,Wet Serapas,1,177.86,Wet Serapas,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=5
2022,59165,5,regular,Bigballs,2,131.22,FFAmuseBouche,6,173.96,FFAmuseBouche,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=5
2022,59165,5,regular,Deepest,3,147.86,DUGASM,5,134.1,Deepest,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=5
2022,59165,5,regular,Dezbians,4,146.92,Good Strongs,7,99.76,Dezbians,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=5
2022,59165,6,regular,Vaqueros,8,139.36,Deepest,3,116.26,Vaqueros,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=6
2022,59165,6,regular,Wet Serapas,1,102.62,FFAmuseBouche,6,156.34,FFAmuseBouche,https://football.fantasysports.yahoo.com/2022/f1/59165?module=standings&lhst=matchups&matchup_week=6
