season,league_id,week,bracket,team_a,team_a_id,score_a,team_b,team_b_id,score_b,winner,source_url
2020,26564,1,regular,Vaqueros,8,137.16,DUGASM,5,154.02,DUGASM,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=1
2020,26564,1,regular,Wet Serapas,1,155.48,bigballs,2,138.36,Wet Serapas,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=1
2020,26564,1,regular,Deepest,3,150.2,Good Strongs,7,163.1,Good Strongs,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=1
2020,26564,1,regular,Dezbians,4,158.0,FFAmuseBouche,6,189.76,FFAmuseBouche,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=1
2020,26564,2,regular,Vaqueros,8,142.86,bigballs,2,167.64,bigballs,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=2
2020,26564,2,regular,Wet Serapas,1,116.48,Deepest,3,172.56,Deepest,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=2
2020,26564,2,regular,Dezbians,4,131.68,Good Strongs,7,175.36,Good Strongs,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=2
2020,26564,2,regular,DUGASM,5,211.72,FFAmuseBouche,6,127.5,DUGASM,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=2
2020,26564,3,regular,Vaqueros,8,182.58,FFAmuseBouche,6,147.72,Vaqueros,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=3
2020,26564,3,regular,Wet Serapas,1,151.34,Dezbians,4,148.42,Wet Serapas,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=3
2020,26564,3,regular,bigballs,2,201.64,Deepest,3,131.0,bigballs,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=3
2020,26564,3,regular,DUGASM,5,160.98,Good Strongs,7,150.72,DUGASM,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=3
2020,26564,4,regular,Vaqueros,8,182.42,Deepest,3,157.84,Vaqueros,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=4
2020,26564,4,regular,Wet Serapas,1,175.76,DUGASM,5,165.78,Wet Serapas,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=4
2020,26564,4,regular,bigballs,2,159.52,Dezbians,4,113.02,bigballs,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=4
2020,26564,4,regular,FFAmuseBouche,6,183.12,Good Strongs,7,138.12,FFAmuseBouche,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=4
2020,26564,5,regular,Vaqueros,8,139.58,Good Strongs,7,147.04,Good Strongs,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=5
2020,26564,5,regular,Wet Serapas,1,132.58,FFAmuseBouche,6,113.08,Wet Serapas,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=5
2020,26564,5,regular,bigballs,2,150.96,DUGASM,5,104.72,bigballs,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=5
2020,26564,5,regular,Deepest,3,171.78,Dezbians,4,146.58,Deepest,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=5
2020,26564,6,regular,Vaqueros,8,158.2,Dezbians,4,93.1,Vaqueros,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=6
2020,26564,6,regular,Wet Serapas,1,142.14,Good Strongs,7,131.74,Wet Serapas,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=6
2020,26564,6,regular,bigballs,2,176.58,FFAmuseBouche,6,153.36,bigballs,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=6
2020,26564,6,regular,Deepest,3,96.12,DUGASM,5,107.86,DUGASM,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=6
2020,26564,7,regular,Vaqueros,8,129.68,Wet Serapas,1,197.62,Wet Serapas,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=7
2020,26564,7,regular,bigballs,2,213.48,Good Strongs,7,175.42,bigballs,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=7
2020,26564,7,regular,Deepest,3,92.24,FFAmuseBouche,6,74.02,Deepest,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=7
2020,26564,7,regular,Dezbians,4,154.22,DUGASM,5,156.4,DUGASM,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=7
2020,26564,8,regular,Vaqueros,8,114.2,DUGASM,5,157.1,DUGASM,https://football.fantasysports.yahoo.com/2020/f1/26564?module=standings&lhst=matchups&matchup_week=8
