season,league_id,week,bracket,team_a,team_a_id,score_a,team_b,team_b_id,score_b,winner,source_url
2019,56453,1,regular,Vaqueros,8,154.32,DUGASM,5,130.2,Vaqueros,https://football.fantasysports.yahoo.com/2019/f1/56453?module=standings&lhst=matchups&matchup_week=1
2019,56453,1,regular,Wet Serapas,1,123.82,bigballs,2,174.96,bigballs,https://football.fantasysports.yahoo.com/2019/f1/56453?module=standings&lhst=matchups&matchup_week=1
2019,56453,1,regular,Deepest,3,117.2,Good Strongs,7,100.58,Deepest,https://football.fantasysports.yahoo.com/2019/f1/56453?module=standings&lhst=matchups&matchup_week=1
2019,56453,1,regular,Dezbians,4,164.34,FFAmuseBouche,6,172.4,FFAmuseBouche,https://football.fantasysports.yahoo.com/2019/f1/56453?module=standings&lhst=matchups&matchup_week=1
2019,56453,2,regular,Vaqueros,8,158.64,bigballs,2,119.64,Vaqueros,https://football.fantasysports.yahoo.com/2019/f1/56453?module=standings&lhst=matchups&matchup_week=2
2019,56453,2,regular,Wet Serapas,1,132.4,Deepest,3,97.38,Wet Serapas,https://football.fantasysports.yahoo.com/2019/f1/56453?module=standings&lhst=matchups&matchup_week=2
2019,56453,2,regular,Dezbians,4,135.08,Good Strongs,7,142.86,Good Strongs,https://football.fantasysports.yahoo.com/2019/f1/56453?module=standings&lhst=matchups&matchup_week=2
2019,56453,2,regular,DUGASM,5,189.06,FFAmuseBouche,6,149.64,DUGASM,https://football.fantasysports.yahoo.com/2019/f1/56453?module=standings&lhst=matchups&matchup_week=2
2019,56453,3,regular,Vaqueros,8,216.76,FFAmuseBouche,6,113.42,Vaqueros,https://football.fantasysports.yahoo.com/2019/f1/56453?module=standings&lhst=matchups&matchup_week=3
2019,56453,3,regular,Wet Serapas,1,114.44,Dezbians,4,189.1,Dezbians,https://football.fantasysports.yahoo.com/2019/f1/56453?module=standings&lhst=matchups&matchup_week=3
2019,56453,3,regular,bigballs,2,157.34,Deepest,3,160.76,Deepest,https://football.fantasysports.yahoo.com/2019/f1/56453?module=standings&lhst=matchups&matchup_week=3
2019,56453,3,regular,DUGASM,5,166.28,Good Strongs,7,143.46,DUGASM,https://football.fantasysports.yahoo.com/2019/f1/56453?module=standings&lhst=matchups&matchup_week=3
2019,56453,4,regular,Vaqueros,8,147.18,Deepest,3,146.36,Vaqueros,https://football.fantasysports.yahoo.com/2019/f1/56453?module=standings&lhst=matchups&matchup_week=4
2019,56453,4,regular,Wet Serapas,1,145.64,DUGASM,5,130.92,Wet Serapas,https://football.fantasysports.yahoo.com/2019/f1/56453?module=standings&lhst=matchups&matchup_week=4
2019,56453,4,regular,bigballs,2,112.98,Dezbians,4,126.8,Dezbians,https://football.fantasysports.yahoo.com/2019/f1/56453?module=standings&lhst=matchups&matchup_week=4
2019,56453,4,regular,FFAmuseBouche,6,120.98,Good Strongs,7,153.84,Good Strongs,https://football.fantasysports.yahoo.com/2019/f1/56453?module=standings&lhst=matchups&matchup_week=4
2019,56453,5,regular,Vaqueros,8,210.3,Good Strongs,7,161.12,Vaqueros,https://football.fantasysports.yahoo.com/2019/f1/56453?module=standings&lhst=matchups&matchup_week=5
2019,56453,5,regular,Wet Serapas,1,138.44,FFAmuseBouche,6,154.36,FFAmuseBouche,https://football.fantasysports.yahoo.com/2019/f1/56453?module=standings&lhst=matchups&matchup_week=5
2019,56453,5,regular,bigballs,2,127.56,DUGASM,5,174.34,DUGASM,https://football.fantasysports.yahoo.com/2019/f1/56453?module=standings&lhst=matchups&matchup_week=5
