season,league_id,week,bracket,team_a,team_a_id,score_a,team_b,team_b_id,score_b,winner,source_url
2023,69639,1,regular,Vaqueros,8,113.84,Bigballs,2,157.8,Bigballs,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=1
2023,69639,1,regular,Wet Serapas,1,109.3,Good Strongs,7,144.24,Good Strongs,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=1
2023,69639,1,regular,Deepest,3,110.86,Dezbians,4,141.54,Dezbians,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=1
2023,69639,1,regular,DUGASM,5,141.6,FFAmuseBouche,6,119.02,DUGASM,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=1
2023,69639,2,regular,Vaqueros,8,114.32,FFAmuseBouche,6,131.88,FFAmuseBouche,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=2
2023,69639,2,regular,Wet Serapas,1,93.36,Deepest,3,187.08,Deepest,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=2
2023,69639,2,regular,Bigballs,2,168.92,Good Strongs,7,167.72,Bigballs,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=2
2023,69639,2,regular,Dezbians,4,174.36,DUGASM,5,109.64,Dezbians,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=2
2023,69639,3,regular,Vaqueros,8,146.98,DUGASM,5,177.16,DUGASM,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=3
2023,69639,3,regular,Wet Serapas,1,126.28,Dezbians,4,126.04,Wet Serapas,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=3
2023,69639,3,regular,Bigballs,2,180.04,Deepest,3,179.5,Bigballs,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=3
2023,69639,3,regular,FFAmuseBouche,6,186.34,Good Strongs,7,136.02,FFAmuseBouche,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=3
2023,69639,4,regular,Vaqueros,8,149.74,Dezbians,4,125.04,Vaqueros,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=4
2023,69639,4,regular,Wet Serapas,1,152.76,Bigballs,2,114.34,Wet Serapas,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=4
2023,69639,4,regular,Deepest,3,148.06,FFAmuseBouche,6,108.12,Deepest,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=4
2023,69639,4,regular,DUGASM,5,153.98,Good Strongs,7,151.94,DUGASM,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=4
2023,69639,5,regular,Vaqueros,8,162.62,Good Strongs,7,90.26,Vaqueros,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=5
2023,69639,5,regular,Wet Serapas,1,149.32,FFAmuseBouche,6,146.02,Wet Serapas,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=5
2023,69639,5,regular,Bigballs,2,168.28,Dezbians,4,141.02,Bigballs,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=5
2023,69639,5,regular,Deepest,3,149.64,DUGASM,5,145.42,Deepest,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=5
2023,69639,6,regular,Vaqueros,8,133.72,Deepest,3,128.58,Vaqueros,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=6
2023,69639,6,regular,Wet Serapas,1,128.34,DUGASM,5,134.1,DUGASM,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=6
2023,69639,6,regular,Bigballs,2,106.22,FFAmuseBouche,6,140.04,FFAmuseBouche,https://football.fantasysports.yahoo.com/2023/f1/69639?module=standings&lhst=matchups&matchup_week=6
