season,league_id,week,bracket,team_a,team_a_id,score_a,team_b,team_b_id,score_b,winner,source_url
2017,122934,1,regular,Wet Serapas,1,86.28,bigballs,2,122.92,bigballs,https://football.fantasysports.yahoo.com/2017/f1/122934?module=standings&lhst=matchups&matchup_week=1
2017,122934,1,regular,Deepest,3,111.86,Good Strongs,7,115.8,Good Strongs,https://football.fantasysports.yahoo.com/2017/f1/122934?module=standings&lhst=matchups&matchup_week=1
2017,122934,1,regular,Dezbians,4,139.06,FFAmuseBouche,6,167.54,FFAmuseBouche,https://football.fantasysports.yahoo.com/2017/f1/122934?module=standings&lhst=matchups&matchup_week=1
2017,122934,1,regular,Vaqueros,8,96.88,DUGASM,5,131.76,DUGASM,https://football.fantasysports.yahoo.com/2017/f1/122934?module=standings&lhst=matchups&matchup_week=1
2017,122934,2,regular,Wet Serapas,1,149.84,Deepest,3,135.26,Wet Serapas,https://football.fantasysports.yahoo.com/2017/f1/122934?module=standings&lhst=matchups&matchup_week=2
2017,122934,2,regular,Dezbians,4,116.62,Good Strongs,7,166.66,Good Strongs,https://football.fantasysports.yahoo.com/2017/f1/122934?module=standings&lhst=matchups&matchup_week=2
2017,122934,2,regular,DUGASM,5,141.78,FFAmuseBouche,6,117.48,DUGASM,https://football.fantasysports.yahoo.com/2017/f1/122934?module=standings&lhst=matchups&matchup_week=2
2017,122934,2,regular,Vaqueros,8,107.04,bigballs,2,111.82,bigballs,https://football.fantasysports.yahoo.com/2017/f1/122934?module=standings&lhst=matchups&matchup_week=2
2017,122934,3,regular,Wet Serapas,1,114.16,Dezbians,4,182.22,Dezbians,https://football.fantasysports.yahoo.com/2017/f1/122934?module=standings&lhst=matchups&matchup_week=3
2017,122934,3,regular,bigballs,2,108.34,Deepest,3,98.2,bigballs,https://football.fantasysports.yahoo.com/2017/f1/122934?module=standings&lhst=matchups&matchup_week=3
2017,122934,3,regular,DUGASM,5,202.04,Good Strongs,7,109.26,DUGASM,https://football.fantasysports.yahoo.com/2017/f1/122934?module=standings&lhst=matchups&matchup_week=3
2017,122934,3,regular,Vaqueros,8,120.22,FFAmuseBouche,6,125.08,FFAmuseBouche,https://football.fantasysports.yahoo.com/2017/f1/122934?module=standings&lhst=matchups&matchup_week=3
2017,122934,4,regular,Wet Serapas,1,103.56,DUGASM,5,163.24,DUGASM,https://football.fantasysports.yahoo.com/2017/f1/122934?module=standings&lhst=matchups&matchup_week=4
2017,122934,4,regular,bigballs,2,155.56,Dezbians,4,156.84,Dezbians,https://football.fantasysports.yahoo.com/2017/f1/122934?module=standings&lhst=matchups&matchup_week=4
2017,122934,4,regular,FFAmuseBouche,6,140.0,Good Strongs,7,113.94,FFAmuseBouche,https://football.fantasysports.yahoo.com/2017/f1/122934?module=standings&lhst=matchups&matchup_week=4
2017,122934,4,regular,Vaqueros,8,140.24,Deepest,3,104.6,Vaqueros,https://football.fantasysports.yahoo.com/2017/f1/122934?module=standings&lhst=matchups&matchup_week=4
