season,league_id,week,bracket,team_a,team_a_id,score_a,team_b,team_b_id,score_b,winner,source_url
2026,668216,1,regular,Vaqueros,8,141.2,Good Strongs,7,149.82,Good Strongs,https://football.fantasysports.yahoo.com/2026/f1/668216?module=standings&lhst=matchups&matchup_week=1
2026,668216,1,regular,Wet Serapas,1,169.22,Deepest,4,170.24,Deepest,https://football.fantasysports.yahoo.com/2026/f1/668216?module=standings&lhst=matchups&matchup_week=1
2026,668216,1,regular,Baby Arm,2,147.36,DUGASM,5,157.1,DUGASM,https://football.fantasysports.yahoo.com/2026/f1/668216?module=standings&lhst=matchups&matchup_week=1
2026,668216,1,regular,Big Balls,3,140.28,FFAmuseBouche,6,79.98,Big Balls,https://football.fantasysports.yahoo.com/2026/f1/668216?module=standings&lhst=matchups&matchup_week=1
