season,league_id,week,bracket,team_a,team_a_id,score_a,team_b,team_b_id,score_b,winner,source_url
2021,771925,1,regular,Vaqueros,8,104.26,DUGASM,5,130.32,DUGASM,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=1
2021,771925,1,regular,Wet Serapas,1,173.0,bigballs,2,131.96,Wet Serapas,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=1
2021,771925,1,regular,Deepest,3,195.52,Good Strongs,7,161.94,Deepest,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=1
2021,771925,1,regular,Dezbians,4,161.32,FFAmuseBouche,6,153.16,Dezbians,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=1
2021,771925,2,regular,Vaqueros,8,145.06,bigballs,2,175.7,bigballs,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=2
2021,771925,2,regular,Wet Serapas,1,154.86,Deepest,3,180.52,Deepest,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=2
2021,771925,2,regular,Dezbians,4,177.58,Good Strongs,7,113.4,Dezbians,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=2
2021,771925,2,regular,DUGASM,5,122.7,FFAmuseBouche,6,146.46,FFAmuseBouche,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=2
2021,771925,3,regular,Vaqueros,8,170.56,FFAmuseBouche,6,161.02,Vaqueros,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=3
2021,771925,3,regular,Wet Serapas,1,154.1,Dezbians,4,130.62,Wet Serapas,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=3
2021,771925,3,regular,bigballs,2,123.96,Deepest,3,152.68,Deepest,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=3
2021,771925,3,regular,DUGASM,5,139.52,Good Strongs,7,139.14,DUGASM,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=3
2021,771925,4,regular,Vaqueros,8,156.34,Deepest,3,140.08,Vaqueros,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=4
2021,771925,4,regular,Wet Serapas,1,138.26,DUGASM,5,181.1,DUGASM,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=4
2021,771925,4,regular,bigballs,2,168.82,Dezbians,4,164.54,bigballs,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=4
2021,771925,4,regular,FFAmuseBouche,6,125.52,Good Strongs,7,117.98,FFAmuseBouche,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=4
2021,771925,5,regular,Vaqueros,8,196.26,Good Strongs,7,168.76,Vaqueros,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=5
2021,771925,5,regular,Wet Serapas,1,167.44,FFAmuseBouche,6,184.6,FFAmuseBouche,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=5
2021,771925,5,regular,bigballs,2,173.1,DUGASM,5,197.16,DUGASM,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=5
2021,771925,5,regular,Deepest,3,123.14,Dezbians,4,160.68,Dezbians,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=5
2021,771925,6,regular,Vaqueros,8,193.82,Dezbians,4,152.0,Vaqueros,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=6
2021,771925,6,regular,Wet Serapas,1,136.92,Good Strongs,7,174.92,Good Strongs,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=6
2021,771925,6,regular,bigballs,2,143.8,FFAmuseBouche,6,145.48,FFAmuseBouche,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=6
2021,771925,6,regular,Deepest,3,174.74,DUGASM,5,147.74,Deepest,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=6
2021,771925,7,regular,Vaqueros,8,145.74,Wet Serapas,1,164.4,Wet Serapas,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=7
2021,771925,7,regular,bigballs,2,102.9,Good Strongs,7,127.6,Good Strongs,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=7
2021,771925,7,regular,Deepest,3,165.56,FFAmuseBouche,6,125.62,Deepest,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=7
2021,771925,7,regular,Dezbians,4,151.92,DUGASM,5,184.28,DUGASM,https://football.fantasysports.yahoo.com/2021/f1/771925?module=standings&lhst=matchups&matchup_week=7
